timestamp,ip,method,url,status,size,user_agent,label,attack_type
2026-07-03T23:19:52.575428,192.168.1.107,GET,/dvwa/js/dvwaPage.js,200,2206,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0 Safari/537.36,Normal,None
2026-07-03T23:20:25.575428,192.168.1.108,GET,/dvwa/css/main.css,302,912,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0 Safari/537.36,Normal,None
2026-07-03T23:21:45.575428,192.168.1.127,GET,/dvwa/index.php,200,1991,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0 Safari/537.36,Normal,None
2026-07-03T23:22:19.575428,192.168.1.132,GET,/dvwa/login.php,200,3636,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0 Safari/537.36,Normal,None
2026-07-03T23:22:52.575428,192.168.1.128,GET,/dvwa/index.php,200,3662,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 Safari/605.1.15,Normal,None
2026-07-03T23:23:40.575428,192.168.1.117,GET,/dvwa/vulnerabilities/view_source.php,200,1037,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/121.0 Safari/537.36,Normal,None
2026-07-03T23:23:56.575428,192.168.1.124,GET,/dvwa/vulnerabilities/sqli/?id=3&Submit=Submit,304,2366,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0 Safari/537.36,Normal,None
2026-07-03T23:24:06.575428,192.168.1.129,GET,/dvwa/vulnerabilities/xss_r/?name=John,304,2601,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0 Safari/537.36,Normal,None
2026-07-03T23:25:31.575428,192.168.1.139,GET,/dvwa/setup.php,200,769,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 Safari/605.1.15,Normal,None
2026-07-03T23:25:41.575428,192.168.1.114,GET,/dvwa/security.php,200,1027,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 Safari/605.1.15,Normal,None
2026-07-03T23:26:34.575428,192.168.1.117,GET,/dvwa/css/main.css,200,1532,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:124.0) Gecko/20100101 Firefox/124.0,Normal,None
2026-07-03T23:27:26.575428,192.168.1.122,GET,/dvwa/css/main.css,200,784,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/121.0 Safari/537.36,Normal,None
2026-07-03T23:28:48.575428,192.168.1.110,GET,/dvwa/instructions.php,200,3308,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/121.0 Safari/537.36,Normal,None
2026-07-03T23:29:27.575428,192.168.1.135,GET,/dvwa/css/main.css,200,658,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/121.0 Safari/537.36,Normal,None
2026-07-03T23:30:01.575428,192.168.1.102,GET,/dvwa/vulnerabilities/xss_r/?name=Priya,200,1928,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 Safari/605.1.15,Normal,None
2026-07-03T23:31:18.575428,192.168.1.120,GET,/dvwa/css/main.css,200,3441,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/121.0 Safari/537.36,Normal,None
2026-07-03T23:32:45.575428,192.168.1.129,GET,/dvwa/about.php,200,2220,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/121.0 Safari/537.36,Normal,None
2026-07-03T23:34:01.575428,192.168.1.134,GET,/dvwa/js/dvwaPage.js,304,3709,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 Safari/605.1.15,Normal,None
2026-07-03T23:35:20.575428,192.168.1.125,GET,/dvwa/vulnerabilities/view_source.php,200,4374,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 Safari/605.1.15,Normal,None
